stim_name,wtc_code,manifest_wtc_code,beta_oname,beta_oname_midi,manual_onset_s,sync_status,prior_sync_status,notes,01_deployed_t0.wav_packet_path,01_deployed_t0.wav_link_mode,02_matched_t0.wav_packet_path,02_matched_t0.wav_link_mode,03_beta_midi_piano_t0.wav_packet_path,03_beta_midi_piano_t0.wav_link_mode,04_original_beta_midi.midi_packet_path,04_original_beta_midi.midi_link_mode,05_stacked_sync_check.png_packet_path,05_stacked_sync_check.png_link_mode
track1,wtc1p15,wtc1p15,cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.wav,cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,1.06510416666667,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track1/01_deployed_t0.wav,hardlink,audio_midi_t0/track1/02_matched_t0.wav,hardlink,audio_midi_t0/track1/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track1/04_original_beta_midi.midi,hardlink,audio_midi_t0/track1/05_stacked_sync_check.png,hardlink
track10,wtc1p03,wtc1p03,cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav,cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,0.9642708333333329,midi_pending_confirmation,pass_after_correction,Piece-code mapping corrected from source-table label.,audio_midi_t0/track10/01_deployed_t0.wav,hardlink,audio_midi_t0/track10/02_matched_t0.wav,hardlink,audio_midi_t0/track10/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track10/04_original_beta_midi.midi,hardlink,audio_midi_t0/track10/05_stacked_sync_check.png,hardlink
track11,wtc1p15,wtc1p15,cut-MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.wav,cut-MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.midi,1.08329166666667,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track11/01_deployed_t0.wav,hardlink,audio_midi_t0/track11/02_matched_t0.wav,hardlink,audio_midi_t0/track11/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track11/04_original_beta_midi.midi,hardlink,audio_midi_t0/track11/05_stacked_sync_check.png,hardlink
track12,wtc1p04,wtc1p04,cut-MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--1.wav,cut-MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--1.midi,0.9890625,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track12/01_deployed_t0.wav,hardlink,audio_midi_t0/track12/02_matched_t0.wav,hardlink,audio_midi_t0/track12/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track12/04_original_beta_midi.midi,hardlink,audio_midi_t0/track12/05_stacked_sync_check.png,hardlink
track13,wtc1p15,wtc1p15,cut-MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.wav,cut-MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.midi,1.01952083333333,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track13/01_deployed_t0.wav,hardlink,audio_midi_t0/track13/02_matched_t0.wav,hardlink,audio_midi_t0/track13/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track13/04_original_beta_midi.midi,hardlink,audio_midi_t0/track13/05_stacked_sync_check.png,hardlink
track14,wtc1p17,wtc1p17,cut-ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--1.wav,cut-ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--1.midi,0.988395833333333,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track14/01_deployed_t0.wav,hardlink,audio_midi_t0/track14/02_matched_t0.wav,hardlink,audio_midi_t0/track14/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track14/04_original_beta_midi.midi,hardlink,audio_midi_t0/track14/05_stacked_sync_check.png,hardlink
track15,wtc1p03,wtc1p03,cut-ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.wav,cut-ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.midi,0.99075,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track15/01_deployed_t0.wav,hardlink,audio_midi_t0/track15/02_matched_t0.wav,hardlink,audio_midi_t0/track15/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track15/04_original_beta_midi.midi,hardlink,audio_midi_t0/track15/05_stacked_sync_check.png,hardlink
track16,wtc1f05,wtc1f05,cut-MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_07_Track07_wav.wav,cut-MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_07_Track07_wav.midi,1.222125,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track16/01_deployed_t0.wav,hardlink,audio_midi_t0/track16/02_matched_t0.wav,hardlink,audio_midi_t0/track16/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track16/04_original_beta_midi.midi,hardlink,audio_midi_t0/track16/05_stacked_sync_check.png,hardlink
track17,wtc2f07,wtc2f07,cut-MIDI-Unprocessed_061_PIANO061_MID--AUDIO-split_07-07-17_Piano-e_2-05_wav--1.wav,cut-MIDI-Unprocessed_061_PIANO061_MID--AUDIO-split_07-07-17_Piano-e_2-05_wav--1.midi,1.99295833333333,midi_pending_confirmation,audio_aligned_midi_pending_confirmation,midi_needs_replacement_or_resplit; available wtc2f07 candidates much longer than deployed audio,audio_midi_t0/track17/01_deployed_t0.wav,hardlink,audio_midi_t0/track17/02_matched_t0.wav,hardlink,audio_midi_t0/track17/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track17/04_original_beta_midi.midi,hardlink,audio_midi_t0/track17/05_stacked_sync_check.png,hardlink
track18,wtc2p01,wtc2p01,cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.wav,cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.midi,0.9896041666666668,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track18/01_deployed_t0.wav,hardlink,audio_midi_t0/track18/02_matched_t0.wav,hardlink,audio_midi_t0/track18/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track18/04_original_beta_midi.midi,hardlink,audio_midi_t0/track18/05_stacked_sync_check.png,hardlink
track19,wtc1p03,wtc1p03,cut-MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.wav,cut-MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.midi,1.03791666666667,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track19/01_deployed_t0.wav,hardlink,audio_midi_t0/track19/02_matched_t0.wav,hardlink,audio_midi_t0/track19/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track19/04_original_beta_midi.midi,hardlink,audio_midi_t0/track19/05_stacked_sync_check.png,hardlink
track2,wtc1p15,wtc1p15,cut-MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--1.wav,cut-MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--1.midi,0.9949583333333328,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track2/01_deployed_t0.wav,hardlink,audio_midi_t0/track2/02_matched_t0.wav,hardlink,audio_midi_t0/track2/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track2/04_original_beta_midi.midi,hardlink,audio_midi_t0/track2/05_stacked_sync_check.png,hardlink
track20,wtc2p24,wtc2p24,cut-MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--1.wav,cut-MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--1.midi,1.0476875,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track20/01_deployed_t0.wav,hardlink,audio_midi_t0/track20/02_matched_t0.wav,hardlink,audio_midi_t0/track20/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track20/04_original_beta_midi.midi,hardlink,audio_midi_t0/track20/05_stacked_sync_check.png,hardlink
track21,wtc1f05,wtc1f05,cut-MIDI-Unprocessed_053_PIANO053_MID--AUDIO-split_07-06-17_Piano-e_3-04_wav--1.wav,cut-MIDI-Unprocessed_053_PIANO053_MID--AUDIO-split_07-06-17_Piano-e_3-04_wav--1.midi,1.95889583333333,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track21/01_deployed_t0.wav,hardlink,audio_midi_t0/track21/02_matched_t0.wav,hardlink,audio_midi_t0/track21/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track21/04_original_beta_midi.midi,hardlink,audio_midi_t0/track21/05_stacked_sync_check.png,hardlink
track22,wtc2f07,wtc2f07,cut-MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_02_Track02_wav.wav,cut-MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_02_Track02_wav.midi,2.03095833333333,midi_pending_confirmation,audio_aligned_midi_pending_confirmation,midi_needs_replacement_or_resplit; available wtc2f07 candidates much longer than deployed audio,audio_midi_t0/track22/01_deployed_t0.wav,hardlink,audio_midi_t0/track22/02_matched_t0.wav,hardlink,audio_midi_t0/track22/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track22/04_original_beta_midi.midi,hardlink,audio_midi_t0/track22/05_stacked_sync_check.png,hardlink
track23,wtc1p03,wtc1p03,cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav,cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,0.974604166666667,midi_pending_confirmation,pass_audio_after_correction_midi_needs_final_confirm,Piece-code mapping corrected from source-table label; MIDI retained for traceability.,audio_midi_t0/track23/01_deployed_t0.wav,hardlink,audio_midi_t0/track23/02_matched_t0.wav,hardlink,audio_midi_t0/track23/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track23/04_original_beta_midi.midi,hardlink,audio_midi_t0/track23/05_stacked_sync_check.png,hardlink
track24,wtc1p17,wtc1p17,cut-MIDI-Unprocessed_13_R1_2008_01-04_ORIG_MID--AUDIO_13_R1_2008_wav--1.wav,cut-MIDI-Unprocessed_13_R1_2008_01-04_ORIG_MID--AUDIO_13_R1_2008_wav--1.midi,1.09241666666667,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track24/01_deployed_t0.wav,hardlink,audio_midi_t0/track24/02_matched_t0.wav,hardlink,audio_midi_t0/track24/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track24/04_original_beta_midi.midi,hardlink,audio_midi_t0/track24/05_stacked_sync_check.png,hardlink
track3,wtc2f06,wtc2f06,cut-MIDI-Unprocessed_065_PIANO065_MID--AUDIO-split_07-07-17_Piano-e_3-01_wav--1.wav,cut-MIDI-Unprocessed_065_PIANO065_MID--AUDIO-split_07-07-17_Piano-e_3-01_wav--1.midi,1.98908333333333,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track3/01_deployed_t0.wav,hardlink,audio_midi_t0/track3/02_matched_t0.wav,hardlink,audio_midi_t0/track3/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track3/04_original_beta_midi.midi,hardlink,audio_midi_t0/track3/05_stacked_sync_check.png,hardlink
track4,wtc2f06,wtc2f06,cut-MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_01_Track01_wav.wav,cut-MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_01_Track01_wav.midi,1.97366666666667,midi_pending_confirmation,audio_aligned_midi_pending_confirmation,midi_needs_confirmation_user_reported_off; duration-ranked wtc2f06_83 is closest but not final,audio_midi_t0/track4/01_deployed_t0.wav,hardlink,audio_midi_t0/track4/02_matched_t0.wav,hardlink,audio_midi_t0/track4/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track4/04_original_beta_midi.midi,hardlink,audio_midi_t0/track4/05_stacked_sync_check.png,hardlink
track5,wtc2p01,wtc2p01,cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--1.wav,cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--1.midi,0.9955208333333329,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track5/01_deployed_t0.wav,hardlink,audio_midi_t0/track5/02_matched_t0.wav,hardlink,audio_midi_t0/track5/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track5/04_original_beta_midi.midi,hardlink,audio_midi_t0/track5/05_stacked_sync_check.png,hardlink
track6,wtc1p04,wtc1p04,cut-MIDI-Unprocessed_044_PIANO044_MID--AUDIO-split_07-06-17_Piano-e_1-04_wav--1.wav,cut-MIDI-Unprocessed_044_PIANO044_MID--AUDIO-split_07-06-17_Piano-e_1-04_wav--1.midi,0.986625,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track6/01_deployed_t0.wav,hardlink,audio_midi_t0/track6/02_matched_t0.wav,hardlink,audio_midi_t0/track6/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track6/04_original_beta_midi.midi,hardlink,audio_midi_t0/track6/05_stacked_sync_check.png,hardlink
track7,wtc2p24,wtc2p24,cut-ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--1.wav,cut-ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--1.midi,1.050375,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track7/01_deployed_t0.wav,hardlink,audio_midi_t0/track7/02_matched_t0.wav,hardlink,audio_midi_t0/track7/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track7/04_original_beta_midi.midi,hardlink,audio_midi_t0/track7/05_stacked_sync_check.png,hardlink
track8,wtc1f03,wtc1p03,cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav,cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,1.97,midi_pending_confirmation,audio_aligned_midi_pending_confirmation,MIDI/piece-code mapping differs between source table and analysis manifest; retained for traceability.,audio_midi_t0/track8/01_deployed_t0.wav,hardlink,audio_midi_t0/track8/02_matched_t0.wav,hardlink,audio_midi_t0/track8/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track8/04_original_beta_midi.midi,hardlink,audio_midi_t0/track8/05_stacked_sync_check.png,hardlink
track9,wtc1f03,wtc1p03,cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav,cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,1.972,midi_pending_confirmation,audio_aligned_midi_pending_confirmation,MIDI/piece-code mapping differs between source table and analysis manifest; retained for traceability.,audio_midi_t0/track9/01_deployed_t0.wav,hardlink,audio_midi_t0/track9/02_matched_t0.wav,hardlink,audio_midi_t0/track9/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track9/04_original_beta_midi.midi,hardlink,audio_midi_t0/track9/05_stacked_sync_check.png,hardlink
