emotion_term,target,feature,posterior_mean_beta,posterior_sd,posterior_p_beta_gt_0,posterior_p_direction,abs_posterior_mean_beta
happy,rating_mean__happy,midi_pitch_std,0.24135955415843505,0.03187342417908263,1.0,1.0,0.24135955415843505
happy,rating_mean__happy,midi_velocity_mean,-0.1809221593685355,0.03623170404693518,0.0,1.0,0.1809221593685355
happy,rating_mean__happy,midi_velocity_std,-0.1429659301409221,0.02879403353945082,0.0,1.0,0.1429659301409221
happy,rating_mean__happy,audio100_spectral_bandwidth_hz,-0.1418854723482611,0.028282691003591622,0.0,1.0,0.1418854723482611
happy,rating_mean__happy,tap_count_100ms,0.12237760387201728,0.006231124867348537,1.0,1.0,0.12237760387201728
happy,rating_mean__happy,midi_active_note_count,0.08486925800806382,0.013177880582465891,1.0,1.0,0.08486925800806382
happy,rating_mean__happy,audio100_onset_strength_proxy,-0.050276118537822406,0.007543095875873609,0.0,1.0,0.050276118537822406
happy,rating_mean__happy,midi_note_onset_count_100ms,-0.027506847271316373,0.007622189725676147,0.0,1.0,0.027506847271316373
happy,rating_mean__happy,audio100_zero_crossing_rate,-0.027743205850332218,0.010202157238273253,0.0027,0.9973,0.027743205850332218
happy,rating_mean__happy,audio100_rms,0.031625361180898495,0.012272921236865809,0.9947,0.9947,0.031625361180898495
happy,rating_mean__happy,audio100_spectral_centroid_hz,0.05998271466564809,0.033279045422968015,0.96475,0.96475,0.05998271466564809
happy,rating_mean__happy,audio100_spectral_rolloff_hz,0.02461230111148148,0.01627970133592425,0.93385,0.93385,0.02461230111148148
happy,rating_mean__happy,midi_pitch_mean,0.01780338281879598,0.025896424858702107,0.74945,0.74945,0.01780338281879598
happy,rating_mean__happy,midi_velocity_max,0.1413124158410312,0.548214813443168,0.6036,0.6036,0.1413124158410312
happy,rating_mean__happy,midi_velocity_range,0.09739672900349661,0.5334409975762577,0.57395,0.57395,0.09739672900349661
happy,rating_mean__happy,midi_pitch_min,0.0679900283204337,0.5440461904181418,0.5456,0.5456,0.0679900283204337
happy,rating_mean__happy,midi_pitch_range,-0.0714750761147261,0.6293769598212078,0.45605,0.54395,0.0714750761147261
happy,rating_mean__happy,midi_velocity_min,0.04314757365659112,0.5911831381915197,0.5288,0.5288,0.04314757365659112
happy,rating_mean__happy,midi_pitch_max,-0.01625369519712605,0.49222888956183153,0.48845,0.51155,0.01625369519712605
sad,rating_mean__sad,midi_pitch_std,0.26843031357792846,0.03213512860480471,1.0,1.0,0.26843031357792846
sad,rating_mean__sad,midi_velocity_std,-0.20624385415618074,0.029030453886675696,0.0,1.0,0.20624385415618074
sad,rating_mean__sad,midi_velocity_mean,-0.20536277913231277,0.03652919317917464,0.0,1.0,0.20536277913231277
sad,rating_mean__sad,midi_active_note_count,0.11235977482813161,0.013286080744792084,1.0,1.0,0.11235977482813161
sad,rating_mean__sad,audio100_spectral_rolloff_hz,0.09416131840361952,0.016413369744599372,1.0,1.0,0.09416131840361952
sad,rating_mean__sad,audio100_rms,0.0875100836251853,0.012373691012531586,1.0,1.0,0.0875100836251853
sad,rating_mean__sad,tap_count_100ms,0.07201157720729745,0.006282287018796394,1.0,1.0,0.07201157720729745
sad,rating_mean__sad,midi_note_onset_count_100ms,-0.050387283625878215,0.007684773550171914,0.0,1.0,0.050387283625878215
sad,rating_mean__sad,audio100_onset_strength_proxy,-0.048084493100531485,0.00760503028126635,0.0,1.0,0.048084493100531485
sad,rating_mean__sad,midi_pitch_mean,-0.08903043009842812,0.026109053691984137,0.00045,0.99955,0.08903043009842812
sad,rating_mean__sad,audio100_zero_crossing_rate,-0.015019974105565513,0.010285924507399012,0.07145,0.92855,0.015019974105565513
sad,rating_mean__sad,audio100_spectral_bandwidth_hz,-0.023187488125939498,0.028514912849772412,0.20655,0.79345,0.023187488125939498
sad,rating_mean__sad,midi_velocity_range,0.16435513654864342,0.5378209433625322,0.6205,0.6205,0.16435513654864342
sad,rating_mean__sad,midi_velocity_max,0.14461314726374366,0.5527160632027918,0.6051,0.6051,0.14461314726374366
sad,rating_mean__sad,midi_pitch_min,0.12949608318034497,0.5485132126944339,0.5901,0.5901,0.12949608318034497
sad,rating_mean__sad,midi_pitch_range,-0.11001517146629164,0.6345446109310252,0.43345,0.56655,0.11001517146629164
sad,rating_mean__sad,audio100_spectral_centroid_hz,-0.0036387245917347175,0.033552291040447435,0.45455,0.54545,0.0036387245917347175
sad,rating_mean__sad,midi_velocity_min,-0.014202749284232492,0.5960371897301217,0.48675,0.51325,0.014202749284232492
sad,rating_mean__sad,midi_pitch_max,0.0024554783155290483,0.4962704534095945,0.50285,0.50285,0.0024554783155290483
calm,rating_mean__calm,midi_pitch_std,0.28375317551812007,0.032206976688493864,1.0,1.0,0.28375317551812007
calm,rating_mean__calm,midi_active_note_count,0.16826546493717753,0.013315785914265407,1.0,1.0,0.16826546493717753
calm,rating_mean__calm,midi_velocity_std,-0.14619684063169644,0.029095360503544568,0.0,1.0,0.14619684063169644
calm,rating_mean__calm,tap_count_100ms,0.07561499833215266,0.006296333027108254,1.0,1.0,0.07561499833215266
calm,rating_mean__calm,midi_note_onset_count_100ms,-0.05964394736006287,0.007701955253719924,0.0,1.0,0.05964394736006287
calm,rating_mean__calm,audio100_spectral_rolloff_hz,0.062470014121345306,0.01645006694215951,0.99995,0.99995,0.062470014121345306
calm,rating_mean__calm,audio100_zero_crossing_rate,-0.02961499467930273,0.01030892189365243,0.00195,0.99805,0.02961499467930273
calm,rating_mean__calm,audio100_onset_strength_proxy,-0.020567728542809062,0.007622033693912575,0.00415,0.99585,0.020567728542809062
calm,rating_mean__calm,midi_velocity_mean,-0.08076478807361923,0.036610865562095876,0.01335,0.98665,0.08076478807361923
calm,rating_mean__calm,audio100_rms,0.024901012045098595,0.012401356250730734,0.9788,0.9788,0.024901012045098595
calm,rating_mean__calm,midi_pitch_mean,-0.04291912407553162,0.02616742860928339,0.0493,0.9507,0.04291912407553162
calm,rating_mean__calm,audio100_spectral_centroid_hz,0.04853942313704591,0.03362730763192535,0.92725,0.92725,0.04853942313704591
calm,rating_mean__calm,audio100_spectral_bandwidth_hz,0.013580163873817407,0.028578666814164922,0.68305,0.68305,0.013580163873817407
calm,rating_mean__calm,midi_pitch_min,0.14682795518839953,0.5497395847340462,0.6019,0.6019,0.14682795518839953
calm,rating_mean__calm,midi_velocity_range,0.1306025684344797,0.5390234095055403,0.59755,0.59755,0.1306025684344797
calm,rating_mean__calm,midi_pitch_range,-0.1552837103185496,0.6359633329430435,0.4035,0.5965,0.1552837103185496
calm,rating_mean__calm,midi_velocity_min,-0.06693909648158086,0.597369816414652,0.45295,0.54705,0.06693909648158086
calm,rating_mean__calm,midi_velocity_max,0.054889915845956316,0.5539518320230664,0.5416,0.5416,0.054889915845956316
calm,rating_mean__calm,midi_pitch_max,-0.03628991834625098,0.49738002049760976,0.47285,0.52715,0.03628991834625098
energetic,rating_mean__energetic,audio100_spectral_bandwidth_hz,-0.22296505251746218,0.027582017346876535,0.0,1.0,0.22296505251746218
energetic,rating_mean__energetic,midi_pitch_std,0.15898276993307128,0.03108379391834284,1.0,1.0,0.15898276993307128
energetic,rating_mean__energetic,midi_velocity_mean,-0.1406843108446047,0.03533410202736918,0.0,1.0,0.1406843108446047
energetic,rating_mean__energetic,tap_count_100ms,0.13346448479678213,0.006076755361077052,1.0,1.0,0.13346448479678213
energetic,rating_mean__energetic,midi_active_note_count,0.06558365361918517,0.012851412575079373,1.0,1.0,0.06558365361918517
energetic,rating_mean__energetic,audio100_onset_strength_proxy,-0.05533128335711714,0.007356223680097412,0.0,1.0,0.05533128335711714
energetic,rating_mean__energetic,midi_pitch_mean,0.07222648499532498,0.025254868413479473,0.998,0.998,0.07222648499532498
energetic,rating_mean__energetic,audio100_spectral_rolloff_hz,0.04434322375899675,0.015876389010947005,0.99765,0.99765,0.04434322375899675
energetic,rating_mean__energetic,midi_note_onset_count_100ms,-0.01702113464976677,0.007433358063703549,0.01205,0.98795,0.01702113464976677
energetic,rating_mean__energetic,midi_velocity_std,-0.03955073044802758,0.028080691914034,0.0791,0.9209,0.03955073044802758
energetic,rating_mean__energetic,audio100_spectral_centroid_hz,-0.011871593151630805,0.0324545923875218,0.35515,0.64485,0.011871593151630805
energetic,rating_mean__energetic,midi_velocity_max,0.13495164679772192,0.5346333731922448,0.60185,0.60185,0.13495164679772192
energetic,rating_mean__energetic,midi_velocity_min,0.09861869251214539,0.5765372032918896,0.5667,0.5667,0.09861869251214539
energetic,rating_mean__energetic,midi_pitch_max,-0.04975284881139283,0.4800344411641773,0.46025,0.53975,0.04975284881139283
energetic,rating_mean__energetic,midi_pitch_range,-0.04739965607119992,0.6137848135210502,0.4703,0.5297,0.04739965607119992
energetic,rating_mean__energetic,audio100_zero_crossing_rate,-0.000603673128772607,0.009949409618974388,0.4747,0.5253,0.000603673128772607
energetic,rating_mean__energetic,midi_velocity_range,0.029376532916511187,0.5202255629358257,0.5235,0.5235,0.029376532916511187
energetic,rating_mean__energetic,audio100_rms,-0.00044789009368126614,0.011968872636945843,0.48765,0.51235,0.00044789009368126614
energetic,rating_mean__energetic,midi_pitch_min,0.00984290235348966,0.530568023379023,0.5012,0.5012,0.00984290235348966
