emotion_term,target,feature,n,standardized_beta,se,t,r2,abs_beta
happy,rating_mean__happy,midi_pitch_range,24131,0.17764271348038646,0.006335302920290562,28.040129365147852,0.03155693365280876,0.17764271348038646
happy,rating_mean__happy,midi_pitch_std,24131,0.16634474340880884,0.006348001971393106,26.204267757355346,0.027670573659855147,0.16634474340880884
happy,rating_mean__happy,midi_active_note_count,24816,0.15377918428732404,0.006272704267793152,24.515612038714945,0.023648037520139886,0.15377918428732404
happy,rating_mean__happy,midi_pitch_max,24131,0.1507533559343828,0.006364120337553761,23.688011526293877,0.022726574325574345,0.1507533559343828
happy,rating_mean__happy,midi_velocity_max,24131,0.13674375947575104,0.006377221343136357,21.44252991963065,0.018698855755641675,0.13674375947575104
happy,rating_mean__happy,tap_count_100ms,24816,0.13385363047451102,0.006291087899496465,21.27670644435724,0.017916794391268365,0.13385363047451102
happy,rating_mean__happy,audio100_rms,24816,0.12769769131813435,0.006296242806612292,20.28157033012531,0.016306700366413462,0.12769769131813435
happy,rating_mean__happy,midi_velocity_range,24131,0.1086091155710338,0.006399612163984427,16.971202749643204,0.011795939985172477,0.1086091155710338
happy,rating_mean__happy,audio100_spectral_bandwidth_hz,24816,-0.10770620148473549,0.00631128572342945,-17.065651309024247,0.011600625838321554,0.10770620148473549
happy,rating_mean__happy,midi_velocity_std,24131,0.08873496537646144,0.006412299178138077,13.838244738354355,0.00787389408039374,0.08873496537646144
happy,rating_mean__happy,midi_velocity_mean,24131,0.0870289499095587,0.006413268117892906,13.570140573599177,0.007574038122392768,0.0870289499095587
happy,rating_mean__happy,midi_pitch_min,24131,-0.06918142812944775,0.006422270022347955,-10.772114513706352,0.004786069998050091,0.06918142812944775
happy,rating_mean__happy,midi_note_onset_count_100ms,24816,0.060580543938227996,0.006336555078981561,9.560485654044735,0.0036700023038590546,0.060580543938227996
happy,rating_mean__happy,midi_pitch_mean,24131,0.05079412109878617,0.006429384000479549,7.9003091255861015,0.0025800427382086655,0.05079412109878617
happy,rating_mean__happy,audio100_spectral_centroid_hz,24816,-0.03971431678936818,0.006343206504685478,-6.260921310660759,0.0015772269580531795,0.03971431678936818
happy,rating_mean__happy,midi_velocity_min,24131,0.02879572756175497,0.006435024525100571,4.474843482718519,0.0008291939258141534,0.02879572756175497
happy,rating_mean__happy,audio100_zero_crossing_rate,24816,0.02853078639778561,0.006345630501026589,4.496131060368832,0.0008140057722801908,0.02853078639778561
happy,rating_mean__happy,audio100_onset_strength_proxy,24816,0.022130167094319038,0.006346660077303707,3.4868996954747637,0.0004897442955208442,0.022130167094319038
happy,rating_mean__happy,audio100_spectral_rolloff_hz,24816,-0.00312370232327094,0.006348183796510735,-0.49206236348982413,9.757516204467187e-06,0.00312370232327094
sad,rating_mean__sad,midi_pitch_range,24131,0.14925617779417005,0.006365582686229653,23.44737082649183,0.022277406609862438,0.14925617779417005
sad,rating_mean__sad,midi_pitch_std,24131,0.13175770445186671,0.006381569997250298,20.646597073759608,0.017360092682529582,0.13175770445186671
sad,rating_mean__sad,midi_active_note_count,24816,0.127231203696565,0.006296623379155774,20.206259135260108,0.016187779194153262,0.127231203696565
sad,rating_mean__sad,midi_velocity_range,24131,0.12700858370696627,0.006385559220396784,19.889970369609113,0.016131180335349438,0.12700858370696627
sad,rating_mean__sad,midi_velocity_std,24131,0.09951995353210594,0.00640573462346568,15.5360718740994,0.009904221151092019,0.09951995353210594
sad,rating_mean__sad,midi_pitch_max,24131,0.09071160434571808,0.006411152825479626,14.149031664173876,0.008228595163024655,0.09071160434571808
sad,rating_mean__sad,midi_pitch_min,24131,-0.09063925240517953,0.006411195234955929,-14.137652819687519,0.008215474076620377,0.09063925240517953
sad,rating_mean__sad,audio100_spectral_rolloff_hz,24816,0.0885072711656248,0.006323301394309039,13.997003405734256,0.007833537049235395,0.0885072711656248
sad,rating_mean__sad,tap_count_100ms,24816,0.07240748242409412,0.006331551550323223,11.43597771212362,0.005242843511023665,0.07240748242409412
sad,rating_mean__sad,audio100_spectral_centroid_hz,24816,0.06430582766634176,0.00633507547624068,10.150759513026504,0.004135239471879548,0.06430582766634176
sad,rating_mean__sad,midi_velocity_min,24131,-0.06206091954615431,0.006425284591202956,-9.658859254493544,0.0038515577349382824,0.06206091954615431
sad,rating_mean__sad,audio100_rms,24816,0.05700265622016893,0.006337892740571647,8.993944603428808,0.003249302815848676,0.05700265622016893
sad,rating_mean__sad,midi_velocity_max,24131,0.05665404754840504,0.0064273543509372815,8.814520632634613,0.00320968110363673,0.05665404754840504
sad,rating_mean__sad,audio100_zero_crossing_rate,24816,0.04727114781896838,0.0063411180641495075,7.454702362154149,0.002234561415589309,0.04727114781896838
sad,rating_mean__sad,midi_note_onset_count_100ms,24816,0.023364913069689044,0.006346481725388809,3.6815536665830497,0.0005459191627563698,0.023364913069689044
sad,rating_mean__sad,audio100_spectral_bandwidth_hz,24816,0.018071798857059198,0.006347178051874783,2.8472178827367323,0.0003265899139320849,0.018071798857059198
sad,rating_mean__sad,midi_velocity_mean,24131,-0.010964848834551668,0.006437307120159323,-1.7033285235856448,0.00012022790996524257,0.010964848834551668
sad,rating_mean__sad,midi_pitch_mean,24131,-0.006635477122324889,0.006437552401078097,-1.0307453373401512,4.402955664106756e-05,0.006635477122324889
sad,rating_mean__sad,audio100_onset_strength_proxy,24816,0.005003884044986281,0.006348135292142208,0.7882447071334316,2.503885553051255e-05,0.005003884044986281
calm,rating_mean__calm,audio100_spectral_rolloff_hz,24816,0.15395846042004227,0.006272527041698567,24.54488587645949,0.02370320753502886,0.15395846042004227
calm,rating_mean__calm,audio100_spectral_centroid_hz,24816,0.1531295263960669,0.006273344725079538,24.409550739253508,0.02344865185440137,0.1531295263960669
calm,rating_mean__calm,audio100_spectral_bandwidth_hz,24816,0.13539085050872013,0.006289762105387413,21.525591623127887,0.018330682401566656,0.13539085050872013
calm,rating_mean__calm,midi_velocity_min,24131,-0.11232052069526899,0.006396956583408789,-17.55843098404422,0.01261589936931895,0.11232052069526899
calm,rating_mean__calm,midi_velocity_range,24131,0.11202325144563122,0.006397172613351021,17.51136919368491,0.01254920886451305,0.11202325144563122
calm,rating_mean__calm,midi_pitch_range,24131,0.0883828474084395,0.006412500717788374,13.782898635704047,0.007811527716061861,0.0883828474084395
calm,rating_mean__calm,midi_velocity_std,24131,0.08831773546788245,0.0064125378970382296,13.77266487499454,0.007800022398211759,0.08831773546788245
calm,rating_mean__calm,midi_active_note_count,24816,0.08581154174622543,0.006324798658680974,13.567474059412005,0.007363620696888784,0.08581154174622543
calm,rating_mean__calm,audio100_zero_crossing_rate,24816,0.07754179537395846,0.006329100943095801,12.251628795128399,0.006012730028373103,0.07754179537395846
calm,rating_mean__calm,midi_velocity_mean,24131,-0.07479211126770337,0.006419663096385379,-11.65047295054548,0.00559385990790795,0.07479211126770337
calm,rating_mean__calm,midi_pitch_max,24131,0.0733731125124025,0.006420341711902826,11.428225442416265,0.005383613639784013,0.0733731125124025
calm,rating_mean__calm,midi_pitch_std,24131,0.072108352327508,0.006420935550339744,11.23019406610652,0.005199614475412506,0.072108352327508
calm,rating_mean__calm,tap_count_100ms,24816,0.06574544135426649,0.006334479947943078,10.378980103210566,0.004322463058884729,0.06574544135426649
calm,rating_mean__calm,audio100_rms,24816,-0.042304782124159605,0.00634253154154429,-6.6700152518578015,0.0017896945904015693,0.042304782124159605
calm,rating_mean__calm,midi_pitch_min,24131,-0.035895303822226984,0.006433545393231424,-5.579396992273057,0.001288472836496135,0.035895303822226984
calm,rating_mean__calm,midi_pitch_mean,24131,0.01895632674993175,0.006436537355138773,2.9451125195214427,0.000359342323852041,0.01895632674993175
calm,rating_mean__calm,audio100_onset_strength_proxy,24816,-0.01681255502408685,0.006347317505688516,-2.6487654046564613,0.0002826620063794971,0.01681255502408685
calm,rating_mean__calm,midi_velocity_max,24131,-0.012135749277140093,0.00643722004935362,-1.8852469205978801,0.00014727641051826001,0.012135749277140093
calm,rating_mean__calm,midi_note_onset_count_100ms,24816,-0.002557984752812956,0.006348193998869899,-0.4029468464362273,6.54328599569709e-06,0.002557984752812956
energetic,rating_mean__energetic,audio100_spectral_bandwidth_hz,24816,-0.32369054617653586,0.006006445955514018,-53.890528362365764,0.10477556968450841,0.32369054617653586
energetic,rating_mean__energetic,audio100_rms,24816,0.23857593854863005,0.006164902732149447,38.69905964059702,0.05691847844887665,0.23857593854863005
energetic,rating_mean__energetic,audio100_spectral_centroid_hz,24816,-0.23844112389171637,0.006165112921127872,-38.67587291643947,0.056854169562985946,0.23844112389171637
energetic,rating_mean__energetic,midi_velocity_max,24131,0.22807218670139712,0.006268023711691251,36.386618359404956,0.05201692234697364,0.22807218670139712
energetic,rating_mean__energetic,midi_velocity_mean,24131,0.1959003287487626,0.006312956157115777,31.03147302819743,0.038376938804033145,0.1959003287487626
energetic,rating_mean__energetic,midi_active_note_count,24816,0.18779507898156766,0.006235268794909948,30.118201015608605,0.03526699168978453,0.18779507898156766
energetic,rating_mean__energetic,audio100_spectral_rolloff_hz,24816,-0.17878087465587586,0.006245938146063849,-28.62354228402324,0.03196260114285565,0.17878087465587586
energetic,rating_mean__energetic,midi_pitch_range,24131,0.1651251469489159,0.006349321469385047,26.006739101036896,0.027266314155014126,0.1651251469489159
energetic,rating_mean__energetic,tap_count_100ms,24816,0.16170102035694867,0.0062646709571106,25.81157437288886,0.026147219984563486,0.16170102035694867
energetic,rating_mean__energetic,midi_pitch_std,24131,0.1568538459698617,0.0063580072283804245,24.670284306227,0.02460312899563466,0.1568538459698617
energetic,rating_mean__energetic,midi_pitch_max,24131,0.14485561958099596,0.00636979449923147,22.7410192865299,0.02098315052428046,0.14485561958099596
energetic,rating_mean__energetic,midi_velocity_min,24131,0.1268474483982826,0.006385691961509626,19.86432310593801,0.016090275165222434,0.1268474483982826
energetic,rating_mean__energetic,midi_note_onset_count_100ms,24816,0.09676728006861844,0.006318422816964905,15.315100438274582,0.009363906491896445,0.09676728006861844
energetic,rating_mean__energetic,midi_velocity_range,24131,0.09378428329780064,0.006409320255787399,14.632485121723185,0.008795491793718746,0.09378428329780064
energetic,rating_mean__energetic,midi_velocity_std,24131,0.08184076731074813,0.0064160983528754,12.75553503030628,0.006697911194038508,0.08184076731074813
energetic,rating_mean__energetic,midi_pitch_min,24131,-0.06003351177529017,0.006426082858434736,-9.342162727819378,0.0036040225360888245,0.06003351177529017
energetic,rating_mean__energetic,midi_pitch_mean,24131,0.05597953539004725,0.0064275992842499335,8.709244759316155,0.003133708382498157,0.05597953539004725
energetic,rating_mean__energetic,audio100_zero_crossing_rate,24816,-0.047629948467647176,0.006341009862093251,-7.511413717374741,0.002268611990484226,0.047629948467647176
energetic,rating_mean__energetic,audio100_onset_strength_proxy,24816,0.04644554890322838,0.0063413639224516255,7.324220698241824,0.0021571890124748583,0.04644554890322838
