trial_row,stim_name,mean_ioi_s,consensus_median_ioi_s,participant_ioi_to_consensus_ioi_ratio,perceived_tempo_bpm,cv_ioi_pct,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
0,track12,0.6509982738780208,0.625,1.0415972382048333,92.16614299539964,17.224369534116995,wtc1p04,wtc1p04,2,-0.3545,-0.5101
1,track1,0.4340131578947368,0.3999999999999986,1.085032894736846,138.24465666211916,14.76892240531083,wtc1p15,wtc1p15,2,-0.2186,-0.2511
2,track4,0.4439482228298018,0.5225000000000044,0.8496616704876517,135.1508957903914,41.865903732476184,wtc2f06,wtc2f06,1,-0.9994,-0.9258
3,track16,0.4862392795883362,0.4799999999999969,1.0129984991423735,123.3960367224912,18.97437090153105,wtc1f05,wtc1f05,3,-0.5387,-0.6812
4,track3,0.4777585572322414,0.5349999999999966,0.8930066490322327,125.58644757216484,33.373290718289084,wtc2f06,wtc2f06,1,-1.0934,-0.9258
5,track19,0.3937558441558441,0.6349999999999989,0.6200879435525114,152.37869073062618,66.04010068195996,wtc1p03,wtc1p03,2,-1.3369,-1.2469
6,track18,0.5228496503496503,0.5200000000000031,1.0054800968262445,114.75574280268836,11.874427860392204,wtc2p01,wtc2p01,1,-0.2781,-0.1693
7,track8,0.560445413961039,0.5650000000000013,0.991938785771748,107.05770536320436,13.3665790401527,wtc1f03,wtc1p03,3,-0.6684,-0.6974
8,track21,0.5358680175246441,0.5899999999999999,0.908250877160414,111.96786902334706,32.80489487722405,wtc1f05,wtc1f05,3,-0.539,-0.6812
9,track22,0.6198320158102767,0.6099999999999994,1.0161180587053726,96.80042087139508,8.862758690023414,wtc2f07,wtc2f07,2,-0.8852,-0.9718
10,track17,1.587038961038961,0.3999999999999986,3.967597402597417,37.80625521677223,16.002457544782246,wtc2f07,wtc2f07,2,-0.7004,-0.9718
11,track6,1.645730888429752,0.5750000000000028,2.862140675529989,36.457965528767616,29.408003141291715,wtc1p04,wtc1p04,2,-0.2648,-0.5101
12,track9,1.3282744924977938,0.3975000000000008,3.341571050308908,45.1713861396007,10.691201270989325,wtc1f03,wtc1p03,3,-0.6237,-0.6974
13,track7,1.0664297829036635,0.504999999999999,2.111742144363695,56.26249469199241,11.3320672943447,wtc2p24,wtc2p24,1,-0.5012,-0.3163
14,track14,1.5172782705099777,0.5050000000000008,3.004511426752426,39.5444930347768,6.268738007724164,wtc1p17,wtc1p17,1,-0.9336,-0.9849
15,track10,0.8251273726273727,0.5049999999999883,1.6339155893611716,72.71604601959555,13.250910187911646,wtc1p03,wtc1p03,3,-1.2481,-1.2469
16,track2,1.203896103896104,0.3249999999999975,3.704295704295733,49.838187702265365,13.94813531563542,wtc1p15,wtc1p15,3,-0.3972,-0.2511
17,track11,1.2880785123966942,0.3500000000000014,3.680224321133397,46.581011500890234,5.319211083389162,wtc1p15,wtc1p15,3,-0.2187,-0.2511
18,track13,1.300525568181818,0.3500000000000014,3.715787337662322,46.135194469019304,28.604864694417465,wtc1p15,wtc1p15,2,-0.417,-0.2511
19,track5,1.139517738359202,0.5399999999999991,2.1102180339985255,52.6538534506662,18.940005290933996,wtc2p01,wtc2p01,1,-0.3205,-0.1693
20,track24,0.3452491258741259,0.5450000000000017,0.6334846346314217,173.78755079564013,52.71832960441881,wtc1p17,wtc1p17,1,-1.0328,-0.9849
21,track23,0.6784615384615384,0.6450000000000014,1.0518783542039334,88.43537414965986,22.616568789321953,wtc1p03,wtc1p03,3,-1.1204,-1.2469
22,track20,0.9510133287764868,0.4650000000000034,2.045189954358021,63.09059840117297,43.560411554382014,wtc2p24,wtc2p24,1,-0.44,-0.3163
23,track15,0.2538104448742746,0.5899999999999999,0.4301871947021605,236.3968907178784,52.742803769954705,wtc1p03,wtc1p03,2,-1.0295,-1.2469
24,track8,0.3251555023923445,0.5650000000000013,0.5754964644112278,184.52709413971968,59.11666678616593,wtc1f03,wtc1p03,3,-0.6684,-0.6974
25,track6,0.5524856370395405,0.5750000000000028,0.9608445861557178,108.60010826979364,80.40783375881713,wtc1p04,wtc1p04,2,-0.2648,-0.5101
26,track11,0.3786967329545455,0.3500000000000014,1.0819906655844114,158.43812417362926,36.83673879820869,wtc1p15,wtc1p15,3,-0.2187,-0.2511
27,track7,0.6381447963800904,0.504999999999999,1.2636530621387954,94.02254839395876,73.22785509930817,wtc2p24,wtc2p24,1,-0.5012,-0.3163
28,track22,0.6169956867949569,0.6099999999999994,1.011468339008127,97.24541238152854,12.474559172583565,wtc2f07,wtc2f07,2,-0.8852,-0.9718
29,track9,0.6644677033492823,0.3975000000000008,1.6716168637717757,90.29784246482866,74.28991712859921,wtc1f03,wtc1p03,3,-0.6237,-0.6974
30,track1,0.3742357038123167,0.3999999999999986,0.9355892595307952,160.32676569547905,37.394183304624775,wtc1p15,wtc1p15,2,-0.2186,-0.2511
31,track3,0.5750044782803404,0.5349999999999966,1.0747747257576523,104.34701339968925,29.68659561389681,wtc2f06,wtc2f06,1,-1.0934,-0.9258
32,track13,0.3512202797202797,0.3500000000000014,1.0034865134865094,170.8329600095571,26.63581909516885,wtc1p15,wtc1p15,2,-0.417,-0.2511
33,track16,0.6406803797468353,0.4799999999999969,1.3347507911392489,93.65044083870492,83.90350531437568,wtc1f05,wtc1f05,3,-0.5387,-0.6812
34,track20,0.513646737080347,0.4650000000000034,1.1046166388824583,116.8118001509168,38.068642078908965,wtc2p24,wtc2p24,1,-0.44,-0.3163
35,track18,0.6242076446280991,0.5200000000000031,1.200399316592491,96.12186027575456,40.22995372267294,wtc2p01,wtc2p01,1,-0.2781,-0.1693
36,track24,0.6267491883116882,0.5450000000000017,1.1499985106636446,95.73207451871713,64.33811714513463,wtc1p17,wtc1p17,1,-1.0328,-0.9849
37,track4,0.6564600951374207,0.5225000000000044,1.2563829572007943,91.3993103989662,29.90329730253995,wtc2f06,wtc2f06,1,-0.9994,-0.9258
38,track10,0.3035935828877006,0.5049999999999883,0.6011754116588269,197.63263580638335,48.47902472688749,wtc1p03,wtc1p03,3,-1.2481,-1.2469
39,track19,0.4640662055335968,0.6349999999999989,0.7308129221001537,129.29189689865535,45.240411212164645,wtc1p03,wtc1p03,2,-1.3369,-1.2469
40,track2,0.406344696969697,0.3249999999999975,1.250291375291385,147.657888604055,7.583754064728256,wtc1p15,wtc1p15,3,-0.3972,-0.2511
41,track23,0.4758584152334153,0.6450000000000014,0.7377649848580067,126.0879246415536,9.938872333574066,wtc1p03,wtc1p03,3,-1.1204,-1.2469
42,track17,0.7639703153988869,0.3999999999999986,1.909925788497224,78.5370829083491,5.18176807957254,wtc2f07,wtc2f07,2,-0.7004,-0.9718
43,track14,0.5079438920454545,0.5050000000000008,1.0058294891989183,118.1232827869712,28.192410917560252,wtc1p17,wtc1p17,1,-0.9336,-0.9849
44,track5,0.7217503392130258,0.5399999999999991,1.336574702246346,83.13123907281033,35.40033442661436,wtc2p01,wtc2p01,1,-0.3205,-0.1693
45,track15,0.5072873376623376,0.5899999999999999,0.8598090468853181,118.27616332094892,11.754368679424,wtc1p03,wtc1p03,2,-1.0295,-1.2469
46,track21,1.0376181818181818,0.5899999999999999,1.7586748844375966,57.824738474478266,21.81158378364001,wtc1f05,wtc1f05,3,-0.539,-0.6812
47,track5,0.5737700534759358,0.5399999999999991,1.0625371360665494,104.57150845798968,6.632364395719967,wtc2p01,wtc2p01,1,-0.3205,-0.1693
48,track9,0.5101276903308706,0.3975000000000008,1.2833401014613068,117.61761052626606,19.31411143848243,wtc1f03,wtc1p03,3,-0.6237,-0.6974
49,track1,0.7251623376623376,0.3999999999999986,1.8129058441558503,82.74009402283413,29.35702612176373,wtc1p15,wtc1p15,2,-0.2186,-0.2511
50,track10,0.5308178500331786,0.5049999999999883,1.051124455511269,113.03312425580586,29.03567659810212,wtc1p03,wtc1p03,3,-1.2481,-1.2469
51,track13,0.5072492163009404,0.3500000000000014,1.449283475145538,118.28505214368482,31.39961365052436,wtc1p15,wtc1p15,2,-0.417,-0.2511
52,track4,0.5461568181818182,0.5225000000000044,1.0452762070465331,109.8585571077238,41.09091704874718,wtc2f06,wtc2f06,1,-0.9994,-0.9258
53,track6,0.7016856060606059,0.5750000000000028,1.2203227931488738,85.50838079300388,73.853753902786,wtc1p04,wtc1p04,2,-0.2648,-0.5101
54,track17,0.8604176904176902,0.3999999999999986,2.1510442260442333,69.73357320311833,60.2053191390451,wtc2f07,wtc2f07,2,-0.7004,-0.9718
55,track11,0.20367903930131,0.3500000000000014,0.581940112289455,294.58112236694,37.94531661002426,wtc1p15,wtc1p15,3,-0.2187,-0.2511
56,track19,0.5254067990832696,0.6349999999999989,0.8274122820208984,114.19722794735064,36.34168017781887,wtc1p03,wtc1p03,2,-1.3369,-1.2469
57,track12,0.6848636363636363,0.625,1.0957818181818182,87.60868122386672,34.94470854881724,wtc1p04,wtc1p04,2,-0.3545,-0.5101
58,track14,0.5408766233766235,0.5050000000000008,1.0710428185675696,110.93102827300557,25.823912439030845,wtc1p17,wtc1p17,1,-0.9336,-0.9849
59,track7,0.5371818181818181,0.504999999999999,1.0637263726372657,111.69402606193944,17.517184423755445,wtc2p24,wtc2p24,1,-0.5012,-0.3163
60,track12,0.6348153409090909,0.625,1.0157045454545457,94.5156742968383,12.00837706961672,wtc1p04,wtc1p04,2,-0.3545,-0.5101
61,track23,0.2299460322286409,0.6450000000000014,0.3565054763234735,260.9307906663097,60.33679372110843,wtc1p03,wtc1p03,3,-1.1204,-1.2469
62,track24,0.5486515151515153,0.5450000000000017,1.0067000278009424,109.35903454751316,6.045516643831004,wtc1p17,wtc1p17,1,-1.0328,-0.9849
63,track2,0.2563827885597549,0.3249999999999975,0.7888701186454057,234.02506984596533,10.756079600311232,wtc1p15,wtc1p15,3,-0.3972,-0.2511
64,track7,0.2660044945725915,0.504999999999999,0.5267415734110734,225.56009851038905,75.53862066017912,wtc2p24,wtc2p24,1,-0.5012,-0.3163
65,track16,0.4831860662701784,0.4799999999999969,1.0066376380628783,124.17576620773328,45.69401580479999,wtc1f05,wtc1f05,3,-0.5387,-0.6812
66,track15,0.5159039256198347,0.5899999999999999,0.8744134332539573,116.30072387588984,16.17247063279584,wtc1p03,wtc1p03,2,-1.0295,-1.2469
67,track3,0.296215909090909,0.5349999999999966,0.5536745964316092,202.5549545402233,87.80407988806176,wtc2f06,wtc2f06,1,-1.0934,-0.9258
68,track20,0.2573724489795919,0.4650000000000034,0.5534891375905161,233.1251858459708,47.965555542755226,wtc2p24,wtc2p24,1,-0.44,-0.3163
69,track21,0.6702712609970674,0.5899999999999999,1.1360529847407923,89.51599671862184,81.99587960417406,wtc1f05,wtc1f05,3,-0.539,-0.6812
70,track22,0.575208211143695,0.6099999999999994,0.9429642805634354,104.31005475513138,65.24926018979802,wtc2f07,wtc2f07,2,-0.8852,-0.9718
71,track8,0.5721899874319228,0.5650000000000013,1.0127256414724275,104.86027598855632,6.04237411861888,wtc1f03,wtc1p03,3,-0.6684,-0.6974
72,track18,0.2708754863813229,0.5200000000000031,0.5209143968871565,221.50398620986857,24.45646501206567,wtc2p01,wtc2p01,1,-0.2781,-0.1693
73,track6,0.5854026485325697,0.5750000000000028,1.0180915626653335,102.49355746920884,6.848562719324676,wtc1p04,wtc1p04,2,-0.2648,-0.5101
74,track4,0.578562834224599,0.5225000000000044,1.1072972903819982,103.70524418564348,24.419662479832706,wtc2f06,wtc2f06,1,-0.9994,-0.9258
75,track21,0.3780870659952292,0.5899999999999999,0.6408255355851343,158.69360630484277,86.20445294191929,wtc1f05,wtc1f05,3,-0.539,-0.6812
76,track7,0.5130620282244831,0.504999999999999,1.0159644123257112,116.9449241988102,9.129547199666,wtc2p24,wtc2p24,1,-0.5012,-0.3163
77,track23,0.748575,0.6450000000000014,1.1605813953488349,80.15228934976456,39.9373324771382,wtc1p03,wtc1p03,3,-1.1204,-1.2469
78,track15,0.2284504132231404,0.5899999999999999,0.3872040902087127,262.6390521841368,59.66047494835143,wtc1p03,wtc1p03,2,-1.0295,-1.2469
79,track19,0.4075663466967815,0.6349999999999989,0.6418367664516256,147.2152950955943,39.76025000430375,wtc1p03,wtc1p03,2,-1.3369,-1.2469
80,track16,0.3347113636363636,0.4799999999999969,0.6973153409090954,179.2589272982828,77.62741616420145,wtc1f05,wtc1f05,3,-0.5387,-0.6812
81,track1,0.6831818181818182,0.3999999999999986,1.7079545454545515,87.82435129740519,17.404755307711717,wtc1p15,wtc1p15,2,-0.2186,-0.2511
82,track5,0.3747942338990933,0.5399999999999991,0.6940633961094331,160.0878417359909,35.9959441366309,wtc2p01,wtc2p01,1,-0.3205,-0.1693
83,track3,0.265654609475032,0.5349999999999966,0.4965506719159508,225.85717642380752,44.47816019695765,wtc2f06,wtc2f06,1,-1.0934,-0.9258
84,track12,2.7863474025974027,0.625,4.458155844155844,21.533567545837485,67.46968519056335,wtc1p04,wtc1p04,2,-0.3545,-0.5101
85,track17,1.5491838842975203,0.3999999999999986,3.872959710743815,38.73006981815272,18.61125369076582,wtc2f07,wtc2f07,2,-0.7004,-0.9718
86,track11,1.285284090909091,0.3500000000000014,3.6722402597402457,46.68228637107112,6.0860227475841215,wtc1p15,wtc1p15,3,-0.2187,-0.2511
87,track9,0.6911375057103699,0.3975000000000008,1.738710706189606,86.81340471941306,28.057141880502375,wtc1f03,wtc1p03,3,-0.6237,-0.6974
88,track6,1.1160511363636365,0.5750000000000028,1.9409584980237056,53.76097747231768,26.37254409271616,wtc1p04,wtc1p04,2,-0.2648,-0.5101
89,track10,0.763538961038961,0.5049999999999883,1.511958338691047,78.58145171578008,19.145685754300704,wtc1p03,wtc1p03,3,-1.2481,-1.2469
90,track14,0.4999304613297151,0.5050000000000008,0.9899613095637908,120.01669160229204,43.004729239217845,wtc1p17,wtc1p17,1,-0.9336,-0.9849
91,track24,1.2052272727272728,0.5450000000000017,2.211426188490402,49.7831416179521,65.16324154853581,wtc1p17,wtc1p17,1,-1.0328,-0.9849
92,track13,1.1812223587223587,0.3500000000000014,3.374921024921011,50.794839394081215,23.39525022321217,wtc1p15,wtc1p15,2,-0.417,-0.2511
93,track20,1.0482870022539443,0.4650000000000034,2.254380650008466,57.23623384721237,56.224537580528064,wtc2p24,wtc2p24,1,-0.44,-0.3163
94,track22,1.343171328671329,0.6099999999999994,2.2019202109366067,44.670399612648275,54.06933348625782,wtc2f07,wtc2f07,2,-0.8852,-0.9718
95,track8,1.1735313036020585,0.5650000000000013,2.0770465550478865,51.12773712625722,26.70914412906234,wtc1f03,wtc1p03,3,-0.6684,-0.6974
96,track21,1.2968607954545452,0.5899999999999999,2.198069144838213,46.26556698320903,21.13367573290427,wtc1f05,wtc1f05,3,-0.539,-0.6812
97,track2,0.3468151105651105,0.3249999999999975,1.0671234171234252,173.0028426449882,105.33206724629956,wtc1p15,wtc1p15,3,-0.3972,-0.2511
98,track18,1.1268682891911237,0.5200000000000031,2.167054402290609,53.244909432200416,38.314489586634046,wtc2p01,wtc2p01,1,-0.2781,-0.1693
99,track8,0.5557894736842105,0.5650000000000013,0.9836981835118748,107.95454545454544,32.6424507473625,wtc1f03,wtc1p03,3,-0.6684,-0.6974
100,track9,0.3188900996264009,0.3975000000000008,0.8022392443431454,188.15259573844915,23.317708529808375,wtc1f03,wtc1p03,3,-0.6237,-0.6974
101,track12,0.7605564263322886,0.625,1.2168902821316618,78.88961018887754,66.43256426905002,wtc1p04,wtc1p04,2,-0.3545,-0.5101
102,track15,0.4646799628942485,0.5899999999999999,0.7875931574478792,129.12112591705346,33.09589802691412,wtc1p03,wtc1p03,2,-1.0295,-1.2469
103,track4,0.5319755244755245,0.5225000000000044,1.0181349750727655,112.78714384304445,17.038522898862116,wtc2f06,wtc2f06,1,-0.9994,-0.9258
104,track10,0.253966275659824,0.5049999999999883,0.502903516158079,236.2518403048411,25.248076111835932,wtc1p03,wtc1p03,3,-1.2481,-1.2469
105,track17,0.7798295454545453,0.3999999999999986,1.9495738636363704,76.93989071038253,12.96698782481604,wtc2f07,wtc2f07,2,-0.7004,-0.9718
106,track20,0.4887186828919113,0.4650000000000034,1.051007920197651,122.77001493980136,38.83525482950661,wtc2p24,wtc2p24,1,-0.44,-0.3163
107,track13,0.2969946172248803,0.3500000000000014,0.8485560492139405,202.02386346473344,19.86186718720497,wtc1p15,wtc1p15,2,-0.417,-0.2511
108,track3,0.5801681354359927,0.5349999999999966,1.0844264213756942,103.41829606844983,52.92440199602076,wtc2f06,wtc2f06,1,-1.0934,-0.9258
109,track22,0.5934448051948052,0.6099999999999994,0.9728603363849276,101.10460058758842,18.50706762151379,wtc2f07,wtc2f07,2,-0.8852,-0.9718
110,track24,0.5252306149732621,0.5450000000000017,0.9637258990335054,114.23553442910868,17.357566909457532,wtc1p17,wtc1p17,1,-1.0328,-0.9849
111,track23,0.4518901035673188,0.6450000000000014,0.7006048117322757,132.77564506579574,11.561736587028289,wtc1p03,wtc1p03,3,-1.1204,-1.2469
112,track5,0.4105296610169492,0.5399999999999991,0.7602401129943516,146.15265520978477,43.61321685472559,wtc2p01,wtc2p01,1,-0.3205,-0.1693
113,track19,0.2182792207792208,0.6349999999999989,0.3437468043767263,274.8772869254796,21.822053659751084,wtc1p03,wtc1p03,2,-1.3369,-1.2469
114,track18,0.5553996865203761,0.5200000000000031,1.068076320231486,108.03030944418578,33.36695811355907,wtc2p01,wtc2p01,1,-0.2781,-0.1693
115,track14,0.3810240185950413,0.5050000000000008,0.7545030071188925,157.47038788063648,36.319780429177314,wtc1p17,wtc1p17,1,-0.9336,-0.9849
116,track2,0.3236244911804613,0.3249999999999975,0.9957676651706578,185.4000597456095,31.05458219835191,wtc1p15,wtc1p15,3,-0.3972,-0.2511
117,track6,0.618057184750733,0.5750000000000028,1.074882060436052,97.07839578662684,23.566809565754635,wtc1p04,wtc1p04,2,-0.2648,-0.5101
118,track7,0.4297926393847843,0.504999999999999,0.8510745334352182,139.60220464893365,42.49035231606248,wtc2p24,wtc2p24,1,-0.5012,-0.3163
119,track12,0.6431456827691139,0.625,1.0290330924305822,93.29146040701902,12.607069119214012,wtc1p04,wtc1p04,2,-0.3545,-0.5101
120,track16,0.4881818181818182,0.4799999999999969,1.0170454545454612,122.90502793296088,16.738428974768553,wtc1f05,wtc1f05,3,-0.5387,-0.6812
121,track1,0.4492643540669856,0.3999999999999986,1.123160885167468,133.55165941131835,20.728785270388187,wtc1p15,wtc1p15,2,-0.2186,-0.2511
122,track11,0.4564804587935429,0.3500000000000014,1.3042298822672602,131.44045674721164,8.863551247710781,wtc1p15,wtc1p15,3,-0.2187,-0.2511
123,track21,0.6193120393120393,0.5899999999999999,1.0496814225627786,96.8816948345632,15.126336207211407,wtc1f05,wtc1f05,3,-0.539,-0.6812
124,track19,0.4299445676274945,0.6349999999999989,0.677078059255898,139.55287382996826,22.64497779586142,wtc1p03,wtc1p03,2,-1.3369,-1.2469
125,track15,0.4434722222222222,0.5899999999999999,0.7516478342749531,135.29595991230818,8.119524142795054,wtc1p03,wtc1p03,2,-1.0295,-1.2469
126,track20,0.4812007018716577,0.4650000000000034,1.0348402190788262,124.68809743341303,13.252655017219148,wtc2p24,wtc2p24,1,-0.44,-0.3163
127,track10,0.271903409090909,0.5049999999999883,0.5384225922592383,220.66659701180657,39.105681969445385,wtc1p03,wtc1p03,3,-1.2481,-1.2469
128,track12,1.017430764599639,0.625,1.6278892233594224,58.972071700240086,62.987590218499065,wtc1p04,wtc1p04,2,-0.3545,-0.5101
129,track10,0.4142727272727273,0.5049999999999883,0.8203420342034394,144.83212639894666,63.63902472386576,wtc1p03,wtc1p03,3,-1.2481,-1.2469
130,track22,0.7107294721407625,0.6099999999999994,1.1651302821979723,84.42030667347474,45.91121422596781,wtc2f07,wtc2f07,2,-0.8852,-0.9718
131,track8,0.642230334432407,0.5650000000000013,1.1366908574024877,93.42442544858466,51.413924088621485,wtc1f03,wtc1p03,3,-0.6684,-0.6974
132,track3,0.5801690269529466,0.5349999999999966,1.084428087762524,103.41813715068622,28.44550506251568,wtc2f06,wtc2f06,1,-1.0934,-0.9258
133,track6,0.7599066156615661,0.5750000000000028,1.3215767228896738,78.95707020232305,54.192035098370816,wtc1p04,wtc1p04,2,-0.2648,-0.5101
134,track16,0.7532785299806577,0.4799999999999969,1.569330270793047,79.65181219427646,50.2625247821198,wtc1f05,wtc1f05,3,-0.5387,-0.6812
135,track15,0.4651986754966887,0.5899999999999999,0.7884723313503201,128.97715139867606,36.89105202781596,wtc1p03,wtc1p03,2,-1.0295,-1.2469
136,track7,1.0531233288770054,0.504999999999999,2.0853927304495197,56.97338417522362,17.165268613286084,wtc2p24,wtc2p24,1,-0.5012,-0.3163
137,track21,0.5599972283813747,0.5899999999999999,0.9491478447141946,107.14338742965748,59.036420430862215,wtc1f05,wtc1f05,3,-0.539,-0.6812
