stim_name,wtc_code,qc_priority,click_preview_path,post_crop_t0_plot,deployed_t0_wav,matched_t0_wav,beta_midi_t0_wav,kde_curve_r_mean,peak_f_mean,optimized_beat_cv_ioi,optimizer_label,optimizer_path,sync_status,prior_sync_status,reviewer_click_alignment_ok,reviewer_notes,notes
track1,wtc1p15,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track1_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/track1_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/03_beta_midi_piano_t0.wav,0.4443827705336248,0.440283761947314,0.1723729757754522,balanced,bimodal_fallback|high_cv_balanced_lambdas|chose_balanced|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track10,wtc1p03,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track10_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track10/track10_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track10/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track10/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track10/03_beta_midi_piano_t0.wav,0.5932422471755721,0.5251589872350795,0.1148142583965945,std,high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,pass_after_correction,,,Corrected from wtc1f03 long duplicate to wtc1p03 short performance.
track11,wtc1p15,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track11_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track11/track11_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track11/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track11/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track11/03_beta_midi_piano_t0.wav,0.5098193075999127,0.528638264603769,0.1492297435510431,balanced,bimodal_fallback|high_cv_balanced_lambdas|chose_balanced|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track12,wtc1p04,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track12_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track12/track12_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track12/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track12/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track12/03_beta_midi_piano_t0.wav,0.3940823333590655,0.5058267641686086,0.1688415465888377,monoA,bimodal|chose_monoA|high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track13,wtc1p15,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track13_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track13/track13_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track13/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track13/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track13/03_beta_midi_piano_t0.wav,0.599018228171932,0.5215205253002593,0.2246713772280368,std,bimodal_fallback|high_cv_balanced_lambdas|GE_not_activated:grid_coverage_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track14,wtc1p17,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track14_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track14/track14_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track14/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track14/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track14/03_beta_midi_piano_t0.wav,0.7048553311395012,0.8494720960251431,1.9147520804987563e-15,std+GE,high_cv_balanced_lambdas|GE_applied,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track15,wtc1p03,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track15_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track15/track15_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track15/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track15/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track15/03_beta_midi_piano_t0.wav,0.6082232156478509,0.4862184038568864,0.1778207467747283,balanced,bimodal_fallback|high_cv_balanced_lambdas|chose_balanced|GE_not_activated:grid_coverage_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track16,wtc1f05,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track16_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track16/track16_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track16/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track16/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track16/03_beta_midi_piano_t0.wav,0.6725318742714932,0.7480673693586373,0.10196298501662,balanced,high_cv_balanced_lambdas|chose_balanced|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track17,wtc2f07,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track17_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track17/track17_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track17/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track17/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track17/03_beta_midi_piano_t0.wav,0.5464487734708453,0.5475596954180346,0.1115701383497689,balanced,high_cv_balanced_lambdas|chose_balanced|GE_not_activated:region_not_meaningfully_better,beta_midi_draft_needs_manual_review,behavior_audio_ok_midi_not_final,,,midi_needs_replacement_or_resplit; available wtc2f07 candidates much longer than deployed audio
track18,wtc2p01,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track18_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track18/track18_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track18/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track18/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track18/03_beta_midi_piano_t0.wav,0.5781015005637251,0.6676326489652322,0.047849811925589,std,bimodal|bimodal_no_improvement|GE_rejected_worse,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track19,wtc1p03,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track19_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track19/track19_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track19/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track19/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track19/03_beta_midi_piano_t0.wav,0.5602953796357518,0.4320242964172541,0.0724589697519052,std,bimodal|high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track2,wtc1p15,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track2_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track2/track2_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track2/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track2/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track2/03_beta_midi_piano_t0.wav,0.7112486191026934,0.6021486019917294,0.1267649259197076,std,high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track20,wtc2p24,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track20_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track20/track20_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track20/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track20/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track20/03_beta_midi_piano_t0.wav,0.6788148986781226,0.7598687160275549,4.1656909878543195e-15,balanced+GE,high_cv_balanced_lambdas|chose_balanced|GE_applied,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track21,wtc1f05,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track21_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track21/track21_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track21/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track21/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track21/03_beta_midi_piano_t0.wav,0.4829725052064174,0.4743326819960275,0.1140105933827238,balanced,high_cv_balanced_lambdas|chose_balanced|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track22,wtc2f07,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track22_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track22/track22_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track22/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track22/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track22/03_beta_midi_piano_t0.wav,0.536394815474132,0.6110311016953195,0.1133033080827803,monoA,bimodal|chose_monoA|high_cv_balanced_lambdas|GE_rejected_worse,beta_midi_draft_needs_manual_review,behavior_audio_ok_midi_not_final,,,midi_needs_replacement_or_resplit; available wtc2f07 candidates much longer than deployed audio
track23,wtc1p03,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track23_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track23/track23_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track23/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track23/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track23/03_beta_midi_piano_t0.wav,0.585398883990773,0.506631343021872,1.8797479910819036e-15,balanced+GE,high_cv_balanced_lambdas|chose_balanced|GE_applied,beta_midi_draft_needs_manual_review,pass_audio_after_correction_midi_needs_final_confirm,,,Corrected from wtc1f03 long duplicate to wtc1p03 short performance; MIDI still flagged for final human confirmation. midi_needs_final_human_confirmation despite corrected duration-ranked wtc1p03_82
track24,wtc1p17,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track24_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track24/track24_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track24/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track24/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track24/03_beta_midi_piano_t0.wav,0.5693893731735442,0.6815631021106653,0.1144667096034695,monoA,bimodal|chose_monoA|high_cv_balanced_lambdas|GE_not_activated:grid_coverage_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track3,wtc2f06,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track3_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track3/track3_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track3/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track3/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track3/03_beta_midi_piano_t0.wav,0.6923236388192677,0.6827993507890969,0.0981224567124759,balanced,high_cv_balanced_lambdas|chose_balanced|GE_rejected_worse,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track4,wtc2f06,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track4_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track4/track4_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track4/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track4/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track4/03_beta_midi_piano_t0.wav,0.4564134590412048,0.5521821988076722,0.0582912177514859,std,GE_not_activated:region_not_meaningfully_better,beta_midi_draft_needs_manual_review,behavior_audio_ok_midi_not_final,,,midi_needs_confirmation_user_reported_off; duration-ranked wtc2f06_83 is closest but not final
track5,wtc2p01,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track5_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track5/track5_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track5/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track5/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track5/03_beta_midi_piano_t0.wav,0.4725817745461613,0.5571641689525295,0.1132532884393477,monoA,bimodal|chose_monoA|high_cv_balanced_lambdas|GE_not_activated:grid_coverage_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track6,wtc1p04,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track6_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track6/track6_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track6/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track6/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track6/03_beta_midi_piano_t0.wav,0.3373539492665974,0.3515783622833129,0.1680157611341256,std,bimodal_fallback|high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track7,wtc2p24,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track7_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track7/track7_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track7/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track7/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track7/03_beta_midi_piano_t0.wav,0.8132359731727267,0.919867820863462,0.0711854164471945,std,high_cv_balanced_lambdas|GE_rejected_worse,beta_midi_draft_needs_manual_review,draft_needs_manual_final,,,
track8,wtc1f03,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track8_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track8/track8_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track8/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track8/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track8/03_beta_midi_piano_t0.wav,0.7984097590308535,0.8111406336994597,2.280133340822006e-15,std+GE,bimodal|high_cv_balanced_lambdas|GE_applied,beta_midi_draft_needs_manual_review,behavior_audio_ok_midi_not_final,,,"midi_wrong_family_in_draft; review flagged_midi_candidate_audit, likely wtc1f03 candidates not current wtc1p03"
track9,wtc1f03,high,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track9_crowd_grid_clicks_first30s.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track9/track9_beta_midi_t0_stacked_check.png,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track9/01_deployed_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track9/02_matched_t0.wav,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track9/03_beta_midi_piano_t0.wav,0.7080165316472903,0.7068257954925002,0.2743885386860346,std,bimodal_fallback|high_cv_balanced_lambdas|GE_not_activated:grid_coverage_too_low,beta_midi_draft_needs_manual_review,behavior_audio_ok_midi_not_final,,,"midi_wrong_family_in_draft; review flagged_midi_candidate_audit, likely wtc1f03_108 by duration"
